Model,Scenario,Region,Variable,Unit,tgt.achieved,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Base gini imputed,Share of final consumption among GDP imputed
SHAPE_Gini,service,BDI,Gini,NA,TRUE,38.830997000000004,34.85014572890938,31.277400817862613,28.070924280517993,25.19316725041164,25.19316725041164,25.19316725041164,25.19316725041164,25.19316725041164,25.19316725041164,25.19316725041164,25.19316725041164,25.19316725041164,25.19316725041164,25.19316725041164,25.19316725041164,25.19316725041164,FALSE,FALSE
SHAPE_Gini,society,BDI,Gini,NA,TRUE,38.830997000000004,34.248929726623444,30.207547527538143,26.643049429925572,24.622534184192155,24.622534184192155,24.622534184192155,24.622534184192155,24.622534184192155,24.622534184192155,24.622534184192155,24.622534184192155,24.622534184192155,24.622534184192155,24.622534184192155,24.622534184192155,24.622534184192155,FALSE,FALSE
SHAPE_Gini,innovation,CPV,Gini,NA,TRUE,52.831421,48.34305156794686,44.23599802286539,40.47786512460032,37.03900981726293,33.892307413454425,31.012937642645173,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,CPV,Gini,NA,TRUE,52.831421,47.415283231470035,42.554393604527945,38.19182954594671,34.27650403439061,30.762567355045327,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,CPV,Gini,NA,TRUE,52.831421,46.59730022349563,41.098807244245535,36.249137799789374,31.971730552158515,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,KHM,Gini,NA,TRUE,37.170998,34.013082350104675,31.123451970673536,29.88839185776575,29.88839185776575,29.88839185776575,29.88839185776575,29.88839185776575,29.88839185776575,29.88839185776575,29.88839185776575,29.88839185776575,29.88839185776575,29.88839185776575,29.88839185776575,29.88839185776575,29.88839185776575,FALSE,FALSE
SHAPE_Gini,service,KHM,Gini,NA,TRUE,37.170998,33.36032544281567,29.940312973317923,29.21374201141574,29.21374201141574,29.21374201141574,29.21374201141574,29.21374201141574,29.21374201141574,29.21374201141574,29.21374201141574,29.21374201141574,29.21374201141574,29.21374201141574,29.21374201141574,29.21374201141574,29.21374201141574,FALSE,FALSE
SHAPE_Gini,society,KHM,Gini,NA,TRUE,37.170998,32.78481102018731,28.916195191460705,28.916195191460705,28.916195191460705,28.916195191460705,28.916195191460705,28.916195191460705,28.916195191460705,28.916195191460705,28.916195191460705,28.916195191460705,28.916195191460705,28.916195191460705,28.916195191460705,28.916195191460705,28.916195191460705,FALSE,FALSE
SHAPE_Gini,innovation,CMR,Gini,NA,TRUE,48.344894,44.23768392845092,40.47940780164964,37.04042143396255,33.89359910422503,31.01411959596673,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,CMR,Gini,NA,TRUE,48.344894,43.388703131899405,38.94060786374043,34.94851957634949,31.365689638239832,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,CMR,Gini,NA,TRUE,48.344894,42.64018452184113,37.60863217647472,33.17080425533529,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,CAN,Gini,NA,FALSE,28.603531,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,FALSE
SHAPE_Gini,service,CAN,Gini,NA,FALSE,28.603531,25.67117253547152,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,FALSE,FALSE
SHAPE_Gini,society,CAN,Gini,NA,FALSE,28.603531,25.228307250321055,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,FALSE,FALSE
SHAPE_Gini,innovation,CAF,Gini,NA,TRUE,61.88142,56.624194873686584,51.813604876766476,47.411705478804834,43.383775781578365,39.69804465075976,36.32544011447914,33.239360052091556,30.415462364410274,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,CAF,Gini,NA,TRUE,61.88142,55.53750023240061,49.84394236693175,44.734073018803294,40.14805398256882,36.032181507588994,32.3382574099241,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,CAF,Gini,NA,TRUE,61.88142,54.579397097727636,48.13901470831535,42.45859903761896,37.44847382441129,33.02954462852344,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,TCD,Gini,NA,TRUE,48.876339,44.723979253358564,40.924389207114054,37.447598803489356,34.2661841341135,31.35505112823317,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,TCD,Gini,NA,TRUE,48.876339,43.86566579389082,39.3686735731439,35.33270111962174,31.71048590420733,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,TCD,Gini,NA,TRUE,48.876339,43.10891888007987,38.02205576422789,33.5354437572334,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,CHL,Gini,NA,TRUE,54.839699,50.18071341915418,45.917538665835494,42.016548061345524,38.44697172988673,35.18065389475913,32.19183079380793,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
